bourough,population
City of London,"7,400"
Barking and Dagenham,"185,900"
Barnet,"356,400"
Bexley,"232,000"
Brent,"311,200"
Bromley,"309,400"
Camden,"220,300"
Croydon,"363,400"
Ealing,"338,400"
Enfield,"312,500"
Greenwich,"254,600"
Hackney,"246,300"
Hammersmith and Fulham,"182,500"
Haringey,"254,900"
Harrow,"239,100"
Havering,"237,200"
Hillingdon,"273,900"
Hounslow,"254,000"
Islington,"206,100"
Kensington and Chelsea,"158,700"
Kingston upon Thames,"160,100"
Lambeth,"303,100"
Lewisham,"275,900"
Merton,"199,700"
Newham,"308,000"
Redbridge,"279,000"
Richmond upon Thames,"187,000"
Southwark,"288,300"
Sutton,"190,100"
Tower Hamlets,"254,100"
Waltham Forest,"258,200"
Wandsworth,"307,000"
Westminster,"219,400"
