bourough,total number of schools,percentage attedning private school,,,,
City of London,5,0.9,,,,
Barking and Dagenham,65,0.07,,,,
Barnet,166,0.11,,,,
Bexley,84,0.01,,,,
Brent,103,0.05,,,,
Bromley,122,0.09,,,,
Camden,94,0.3,,,,
Croydon,144,0.11,,,,
Ealing,117,0.09,,,,
Enfield,109,0.03,,,,
Greenwich,102,0.08,,,,
Hackney,113,0.21,,,,
Hammersmith and Fulham,83,0.25,,,,
Haringey,104,0.08,,,,
Harrow,75,0.1,,,,
Havering,91,0.02,,,,
Hillingdon,111,0.07,,,,
Hounslow,92,0.05,,,,
Islington,78,0.04,,,,
Kensington and Chelsea,78,0.52,,,,
Kingston upon Thames,64,0.14,,,,
Lambeth,99,0.05,,,,
Lewisham,95,0.04,,,,
Merton,73,0.13,,,,
Newham,109,0.02,,,,
Redbridge,95,0.07,,,,
Richmond upon Thames,82,0.29,,,,
Southwark,120,0.12,,,,
Sutton,71,0.04,,,,
Tower Hamlets,119,0.06,,,,
Waltham Forest,85,0.05,,,,
Wandsworth,116,0.24,,,,
Westminster,93,0.28,,,,
