nearest stattion,number of stops within 2kms
1331.84692,5
1300.427155,4
1128.468311,2
1195.378497,2
1633.120974,4
482.331364,6
1052.9561,3
1160.72864,3
1160.72864,3
665.2482552,7
391.9453413,8
237.1624017,2
727.8603897,7
1194.391367,3
939.7824411,3
1393.442923,3
798.6752154,7
798.6752154,7
939.7824411,3
902.374959,2
544.7850855,2
479.4060274,3
1040.051854,5
419.2135812,3
0,0
0,0
413.5875456,3
602.034508,3
1032.946302,4
1097.330529,3
1032.946302,4
0,0
0,0
1160.72864,3
1412.153632,3
237.1624017,2
1076.063053,5
233.1243068,3
1150.413743,5
1257.419306,6
0,0
1971.523633,1
1971.523633,1
1906.540884,1
1910.438546,1
1721.775023,1
1007.336598,3
945.9986578,3
945.9986578,3
921.5526462,5
1440.147092,4
1007.336598,3
0,0
1288.855194,1
919.1556656,4
921.5526462,5
807.8652912,3
0,0
550.2041107,3
0,0
1982.832107,1
1913.81354,1
631.7995504,2
1274.976939,2
1387.394173,2
1035.811546,1
1141.296624,1
881.6583083,3
1947.086801,1
323.9693504,3
323.9693504,3
1093.57048,2
0,0
928.19848,3
1989.345817,1
1249.500651,4
610.3716683,3
1685.202211,2
1685.202211,2
1685.202211,2
598.5048886,2
1087.816279,3
1120.478287,3
735.2836615,3
1278.198392,2
1278.198392,2
1535.308416,4
495.6281474,3
1541.579549,2
980.4067612,1
1419.952032,1
239.4446852,4
368.8485749,4
1806.609593,1
1806.609593,1
0,0
1776.469162,1
1776.469162,1
0,0
1625.888488,1
1625.888488,1
1424.587994,1
1503.024385,1
0,0
374.5888469,2
1384.137861,1
239.4446852,4
1384.137861,1
374.5888469,2
0,0
1325.539117,4
374.5888469,2
1269.133253,2
374.5888469,2
887.8337299,3
0,0
924.6511087,3
313.3994685,2
313.3994685,2
1244.085758,2
498.3967413,2
1244.085758,2
572.9085954,4
1067.651864,4
1260.346736,5
522.4557445,2
1269.133253,2
1462.197718,2
1462.197718,2
1260.346736,5
1756.094286,1
1349.112878,5
1260.346736,5
0,0
1260.346736,5
0,0
370.661862,2
1688.098479,1
1776.469162,1
248.1571176,2
1319.137509,6
565.9839318,2
0,0
1174.154795,5
1159.962698,5
0,0
1822.493422,1
686.2313056,2
0,0
927.4567854,3
686.2313056,2
686.2313056,2
896.7427335,2
1313.686458,3
927.4567854,3
1029.36267,3
1895.307748,1
1418.922231,2
285.6659109,3
839.414971,3
839.414971,3
0,0
482.9336079,2
1855.892488,2
468.9271841,2
1449.594585,2
628.2451179,2
1456.175283,1
349.740101,3
1424.587994,1
0,0
1195.378812,3
1184.559176,4
1105.200889,2
1655.876587,1
1717.828632,1
738.7427307,3
738.7427307,3
1734.709009,1
181.2623469,2
928.8968092,2
1191.543155,3
1266.158805,2
904.0142164,3
1010.633784,3
573.4491027,2
935.2473471,1
483.4246825,1
864.0632508,2
715.5448942,3
935.2473471,1
602.8290924,2
769.7138649,3
1391.561628,5
1391.561628,5
222.7618402,3
0,0
1503.024385,1
1503.024385,1
1549.748617,1
833.4232141,3
833.4232141,3
819.1709318,3
921.5526462,5
1062.481109,2
573.4491027,2
1638.08591,1
913.9145086,3
552.7227105,2
935.2473471,1
794.550799,2
478.306346,2
935.2473471,1
389.9834775,2
506.6563602,3
270.1193033,2
663.0630758,3
1036.737036,2
1581.905367,2
1062.481109,2
762.9218781,1
762.9218781,1
1203.045265,2
1686.4621,2
1847.68732,2
463.9865203,2
1348.921513,3
349.740101,3
1577.502109,3
357.9693129,4
1037.007219,2
1688.921965,2
323.9693504,3
600.7048006,3
1092.536061,2
661.5439013,3
1306.181804,2
661.5439013,3
368.7385611,3
