,nearest stattion,number of stops within 2kms
0,1331.8469197665768,5
1,1300.4271547712015,4
2,1128.4683108778156,2
3,1195.3784969010485,2
4,1633.1209738674045,4
5,482.33136404268055,6
6,1052.9561003992392,3
7,1160.7286400299113,3
8,1160.7286400299113,3
9,665.2482551719688,7
10,391.945341332313,8
11,237.16240165048097,2
12,727.8603896735647,7
13,1194.3913673711234,3
14,939.7824411409856,3
15,1393.4429234808642,3
16,798.675215420773,7
17,798.675215420773,7
18,939.7824411409856,3
19,902.3749589974826,2
20,544.7850855343714,2
21,479.4060274105347,3
22,1040.0518538922206,5
23,419.21358119474826,3
24,Nothing within a 2km radius,0
25,Nothing within a 2km radius,0
26,413.58754564706595,3
27,602.0345080131823,3
28,1032.9463019501377,4
29,1097.3305293100952,3
30,1032.9463019501377,4
31,Nothing within a 2km radius,0
32,Nothing within a 2km radius,0
33,1160.7286400299113,3
34,1412.1536323452801,3
35,237.16240165048097,2
36,1076.0630527583162,5
37,233.1243068144569,3
38,1150.4137431202457,5
39,1257.4193060568293,6
40,Nothing within a 2km radius,0
41,1971.5236331290894,1
42,1971.5236331290894,1
43,1906.5408835826622,1
44,1910.4385456861326,1
45,1721.775023164824,1
46,1007.3365979202451,3
47,945.9986578084591,3
48,945.9986578084591,3
49,921.5526462247407,5
50,1440.147091897946,4
51,1007.3365979202451,3
52,Nothing within a 2km radius,0
53,1288.855194387715,1
54,919.1556656464863,4
55,921.5526462247407,5
56,807.8652912388006,3
57,Nothing within a 2km radius,0
58,550.2041107045344,3
59,Nothing within a 2km radius,0
60,1982.832106875734,1
61,1913.8135402949345,1
62,631.7995503811302,2
63,1274.9769389621918,2
64,1387.3941734392863,2
65,1035.8115462411029,1
66,1141.2966244752017,1
67,881.6583083055224,3
68,1947.0868009007088,1
69,323.96935043200483,3
70,323.96935043200483,3
71,1093.57047981749,2
72,Nothing within a 2km radius,0
73,928.1984799989226,3
74,1989.3458166861074,1
75,1249.5006505372155,4
76,610.3716682777626,3
77,1685.202211496696,2
78,1685.202211496696,2
79,1685.202211496696,2
80,598.504888598897,2
81,1087.8162786616456,3
82,1120.4782869256137,3
83,735.283661542805,3
84,1278.198392418135,2
85,1278.198392418135,2
86,1535.3084155631939,4
87,495.62814743002355,3
88,1541.579548688108,2
89,980.4067611641834,1
90,1419.9520319422788,1
91,239.44468521083218,4
92,368.8485749125355,4
93,1806.6095934127839,1
94,1806.6095934127839,1
95,Nothing within a 2km radius,0
96,1776.4691619927744,1
97,1776.4691619927744,1
98,Nothing within a 2km radius,0
99,1625.8884882509228,1
100,1625.8884882509228,1
101,1424.5879940392622,1
102,1503.0243852661781,1
103,Nothing within a 2km radius,0
104,374.58884689717127,2
105,1384.1378611810273,1
106,239.44468521083218,4
107,1384.1378611810273,1
108,374.58884689717127,2
109,Nothing within a 2km radius,0
110,1325.5391168516749,4
111,374.58884689717127,2
112,1269.1332532957815,2
113,374.58884689717127,2
114,887.8337298726204,3
115,Nothing within a 2km radius,0
116,924.6511087458473,3
117,313.3994685415968,2
118,313.3994685415968,2
119,1244.0857578045127,2
120,498.3967413111168,2
121,1244.0857578045127,2
122,572.9085953528781,4
123,1067.651864461203,4
124,1260.346736082052,5
125,522.4557445248236,2
126,1269.1332532957815,2
127,1462.1977175048523,2
128,1462.1977175048523,2
129,1260.346736082052,5
130,1756.0942858585227,1
131,1349.1128777115975,5
132,1260.346736082052,5
133,Nothing within a 2km radius,0
134,1260.346736082052,5
135,Nothing within a 2km radius,0
136,370.6618619693542,2
137,1688.0984791795952,1
138,1776.4691619927744,1
139,248.15711764458774,2
140,1319.1375090156741,6
141,565.983931798551,2
142,Nothing within a 2km radius,0
143,1174.1547945008533,5
144,1159.9626981410952,5
145,Nothing within a 2km radius,0
146,1822.4934221773203,1
147,686.2313055737098,2
148,Nothing within a 2km radius,0
149,927.4567853973267,3
150,686.2313055737098,2
151,686.2313055737098,2
152,896.7427334706181,2
153,1313.6864581448945,3
154,927.4567853973267,3
155,1029.3626702756617,3
156,1895.3077475032214,1
157,1418.9222312360994,2
158,285.6659109243173,3
159,839.4149710189494,3
160,839.4149710189494,3
161,Nothing within a 2km radius,0
162,482.9336078899565,2
163,1855.8924877523482,2
164,468.9271840773328,2
165,1449.594585227307,2
166,628.2451179193323,2
167,1456.1752826490213,1
168,349.74010097715325,3
169,1424.5879940392622,1
170,Nothing within a 2km radius,0
171,1195.3788122757194,3
172,1184.5591758837643,4
173,1105.2008887260051,2
174,1655.876587245143,1
175,1717.8286324196552,1
176,738.7427306823013,3
177,738.7427306823013,3
178,1734.7090093998283,1
179,181.26234693950343,2
180,928.8968092453388,2
181,1191.5431549112689,3
182,1266.1588047475195,2
183,904.0142163910696,3
184,1010.6337840284532,3
185,573.449102662196,2
186,935.2473471082735,1
187,483.42468253049384,1
188,864.0632507680967,2
189,715.5448941603437,3
190,935.2473471082735,1
191,602.8290924007213,2
192,769.713864948877,3
193,1391.5616281054652,5
194,1391.5616281054652,5
195,222.76184019410368,3
196,Nothing within a 2km radius,0
197,1503.0243852661781,1
198,1503.0243852661781,1
199,1549.748616663144,1
200,833.4232140534857,3
201,833.4232140534857,3
202,819.1709317787265,3
203,921.5526462247407,5
204,1062.4811092535087,2
205,573.449102662196,2
206,1638.085909758223,1
207,913.9145086488336,3
208,552.7227105309662,2
209,935.2473471082735,1
210,794.5507989566013,2
211,478.3063460311515,2
212,935.2473471082735,1
213,389.9834774578894,2
214,506.6563601966127,3
215,270.11930330260503,2
216,663.0630757702368,3
217,1036.7370360858579,2
218,1581.9053671714705,2
219,1062.4811092535087,2
220,762.9218781242682,1
221,762.9218781242682,1
222,1203.0452646121028,2
223,1686.462100461303,2
224,1847.6873202126146,2
225,463.9865202515536,2
226,1348.9215128810629,3
227,349.74010097715325,3
228,1577.502108739445,3
229,357.9693128710328,4
230,1037.0072187036092,2
231,1688.9219646039135,2
232,323.96935043200483,3
233,600.7048005985674,3
234,1092.5360610693313,2
235,661.5439012648295,3
236,1306.1818042107127,2
237,661.5439012648295,3
238,368.7385611129104,3
239,1076.4758121734963,3
240,639.4399603774717,2
241,323.96935043200483,3
242,Nothing within a 2km radius,0
243,1282.6363297211576,4
