,nearest stattion,number of stops within 2kms
0,1911.3660282671408,2
1,Nothing within a 2km radius,0
2,1376.4379050543987,3
3,Nothing within a 2km radius,0
4,314.16818154700877,3
5,Nothing within a 2km radius,0
6,Nothing within a 2km radius,0
7,Nothing within a 2km radius,0
8,Nothing within a 2km radius,0
9,Nothing within a 2km radius,0
10,850.2295586198508,3
11,1291.7350082744829,2
12,1454.1133740492826,2
13,622.6800308696355,2
14,Nothing within a 2km radius,0
15,Nothing within a 2km radius,0
16,Nothing within a 2km radius,0
17,850.2295586198508,3
18,604.6688452362475,2
19,Nothing within a 2km radius,0
20,Nothing within a 2km radius,0
21,Nothing within a 2km radius,0
22,Nothing within a 2km radius,0
23,Nothing within a 2km radius,0
24,Nothing within a 2km radius,0
25,Nothing within a 2km radius,0
26,Nothing within a 2km radius,0
27,146.89850282396662,3
28,Nothing within a 2km radius,0
29,Nothing within a 2km radius,0
30,850.2295586198508,3
31,Nothing within a 2km radius,0
32,1981.380366482122,1
33,1981.380366482122,1
34,1338.5015086352491,2
35,Nothing within a 2km radius,0
36,Nothing within a 2km radius,0
37,Nothing within a 2km radius,0
38,511.48492844176036,3
39,Nothing within a 2km radius,0
40,Nothing within a 2km radius,0
41,Nothing within a 2km radius,0
42,Nothing within a 2km radius,0
43,1133.865561496192,2
44,Nothing within a 2km radius,0
45,Nothing within a 2km radius,0
46,Nothing within a 2km radius,0
47,Nothing within a 2km radius,0
48,Nothing within a 2km radius,0
49,Nothing within a 2km radius,0
50,1157.9376722805362,2
51,Nothing within a 2km radius,0
52,579.5716687220123,3
53,Nothing within a 2km radius,0
54,689.8878874645276,2
55,Nothing within a 2km radius,0
56,178.58506197399663,2
57,Nothing within a 2km radius,0
58,Nothing within a 2km radius,0
59,850.2295586198508,3
60,Nothing within a 2km radius,0
61,130.25398448209086,3
62,Nothing within a 2km radius,0
63,Nothing within a 2km radius,0
64,Nothing within a 2km radius,0
65,Nothing within a 2km radius,0
66,410.30394567349083,2
67,404.2278577555707,3
68,639.1944419728917,2
69,639.1944419728917,2
70,1127.4676100444162,2
71,689.8878874645276,2
72,660.5688767712653,3
73,Nothing within a 2km radius,0
74,Nothing within a 2km radius,0
75,1225.1367694102942,3
76,1454.1133740492826,2
77,1015.6500119288166,3
78,639.1944419728917,2
79,1586.983719705565,2
80,1338.5015086352491,2
81,Nothing within a 2km radius,0
82,Nothing within a 2km radius,0
83,Nothing within a 2km radius,0
84,1157.9376722805362,2
85,Nothing within a 2km radius,0
86,Nothing within a 2km radius,0
87,Nothing within a 2km radius,0
88,548.6263546370545,2
89,524.8985210327991,2
90,Nothing within a 2km radius,0
91,Nothing within a 2km radius,0
92,Nothing within a 2km radius,0
93,Nothing within a 2km radius,0
94,548.6263546370545,2
95,Nothing within a 2km radius,0
96,Nothing within a 2km radius,0
97,548.6263546370545,2
98,Nothing within a 2km radius,0
99,243.4320170265122,3
100,660.5688767712653,3
101,344.8237524231814,3
102,Nothing within a 2km radius,0
103,Nothing within a 2km radius,0
104,Nothing within a 2km radius,0
105,Nothing within a 2km radius,0
106,Nothing within a 2km radius,0
107,Nothing within a 2km radius,0
108,548.6263546370545,2
109,Nothing within a 2km radius,0
110,660.5688767712653,3
111,Nothing within a 2km radius,0
112,Nothing within a 2km radius,0
113,Nothing within a 2km radius,0
114,Nothing within a 2km radius,0
115,645.0040838223097,2
116,1971.9408363456146,1
117,Nothing within a 2km radius,0
118,Nothing within a 2km radius,0
119,Nothing within a 2km radius,0
120,Nothing within a 2km radius,0
121,Nothing within a 2km radius,0
122,Nothing within a 2km radius,0
123,Nothing within a 2km radius,0
124,Nothing within a 2km radius,0
125,Nothing within a 2km radius,0
126,Nothing within a 2km radius,0
127,Nothing within a 2km radius,0
128,Nothing within a 2km radius,0
129,Nothing within a 2km radius,0
130,Nothing within a 2km radius,0
131,Nothing within a 2km radius,0
132,1038.3347104146096,2
133,Nothing within a 2km radius,0
134,Nothing within a 2km radius,0
135,Nothing within a 2km radius,0
136,1244.7955171401493,3
137,Nothing within a 2km radius,0
138,1520.431672585669,2
139,Nothing within a 2km radius,0
140,Nothing within a 2km radius,0
141,Nothing within a 2km radius,0
142,Nothing within a 2km radius,0
143,Nothing within a 2km radius,0
144,Nothing within a 2km radius,0
145,1520.431672585669,2
146,Nothing within a 2km radius,0
147,Nothing within a 2km radius,0
148,Nothing within a 2km radius,0
149,Nothing within a 2km radius,0
150,Nothing within a 2km radius,0
151,Nothing within a 2km radius,0
152,833.7929160947917,3
153,Nothing within a 2km radius,0
154,Nothing within a 2km radius,0
155,Nothing within a 2km radius,0
156,Nothing within a 2km radius,0
157,Nothing within a 2km radius,0
158,Nothing within a 2km radius,0
159,Nothing within a 2km radius,0
160,Nothing within a 2km radius,0
161,Nothing within a 2km radius,0
162,Nothing within a 2km radius,0
163,Nothing within a 2km radius,0
164,Nothing within a 2km radius,0
165,Nothing within a 2km radius,0
166,1911.3660282671408,2
167,Nothing within a 2km radius,0
168,930.302959729054,3
169,Nothing within a 2km radius,0
170,644.1019039400479,2
171,Nothing within a 2km radius,0
172,Nothing within a 2km radius,0
173,1567.550305522045,2
174,494.81797962414123,2
175,Nothing within a 2km radius,0
176,Nothing within a 2km radius,0
177,Nothing within a 2km radius,0
178,Nothing within a 2km radius,0
179,Nothing within a 2km radius,0
180,Nothing within a 2km radius,0
181,453.4331597599263,2
182,Nothing within a 2km radius,0
183,Nothing within a 2km radius,0
184,1485.9716393771173,3
185,Nothing within a 2km radius,0
186,Nothing within a 2km radius,0
187,769.0475463063319,3
188,Nothing within a 2km radius,0
189,821.1600597184986,3
190,270.1938870438207,2
191,Nothing within a 2km radius,0
192,Nothing within a 2km radius,0
193,Nothing within a 2km radius,0
194,Nothing within a 2km radius,0
195,Nothing within a 2km radius,0
196,Nothing within a 2km radius,0
197,Nothing within a 2km radius,0
198,Nothing within a 2km radius,0
199,Nothing within a 2km radius,0
200,Nothing within a 2km radius,0
201,Nothing within a 2km radius,0
202,Nothing within a 2km radius,0
203,Nothing within a 2km radius,0
204,Nothing within a 2km radius,0
205,Nothing within a 2km radius,0
206,Nothing within a 2km radius,0
207,Nothing within a 2km radius,0
208,Nothing within a 2km radius,0
209,Nothing within a 2km radius,0
210,Nothing within a 2km radius,0
211,Nothing within a 2km radius,0
212,Nothing within a 2km radius,0
213,Nothing within a 2km radius,0
214,Nothing within a 2km radius,0
215,Nothing within a 2km radius,0
216,Nothing within a 2km radius,0
217,Nothing within a 2km radius,0
218,Nothing within a 2km radius,0
219,Nothing within a 2km radius,0
220,639.1944419728917,2
221,Nothing within a 2km radius,0
222,Nothing within a 2km radius,0
223,Nothing within a 2km radius,0
224,Nothing within a 2km radius,0
225,Nothing within a 2km radius,0
226,Nothing within a 2km radius,0
227,Nothing within a 2km radius,0
228,639.1944419728917,2
229,Nothing within a 2km radius,0
230,Nothing within a 2km radius,0
231,Nothing within a 2km radius,0
232,Nothing within a 2km radius,0
233,Nothing within a 2km radius,0
234,Nothing within a 2km radius,0
235,Nothing within a 2km radius,0
236,Nothing within a 2km radius,0
237,Nothing within a 2km radius,0
238,Nothing within a 2km radius,0
239,Nothing within a 2km radius,0
240,Nothing within a 2km radius,0
241,548.6263546370545,2
242,821.1600597184986,3
243,Nothing within a 2km radius,0
244,1911.3660282671408,2
245,Nothing within a 2km radius,0
246,Nothing within a 2km radius,0
247,Nothing within a 2km radius,0
248,Nothing within a 2km radius,0
249,Nothing within a 2km radius,0
250,Nothing within a 2km radius,0
251,Nothing within a 2km radius,0
252,Nothing within a 2km radius,0
253,Nothing within a 2km radius,0
254,821.1600597184986,3
255,Nothing within a 2km radius,0
256,769.0475463063319,3
257,821.1600597184986,3
258,Nothing within a 2km radius,0
259,821.1600597184986,3
260,Nothing within a 2km radius,0
261,Nothing within a 2km radius,0
262,Nothing within a 2km radius,0
263,Nothing within a 2km radius,0
264,Nothing within a 2km radius,0
265,Nothing within a 2km radius,0
266,Nothing within a 2km radius,0
267,Nothing within a 2km radius,0
268,Nothing within a 2km radius,0
269,Nothing within a 2km radius,0
270,Nothing within a 2km radius,0
271,1683.0973071606754,3
272,Nothing within a 2km radius,0
273,1683.0973071606754,3
274,Nothing within a 2km radius,0
275,Nothing within a 2km radius,0
276,Nothing within a 2km radius,0
277,Nothing within a 2km radius,0
278,Nothing within a 2km radius,0
279,Nothing within a 2km radius,0
280,Nothing within a 2km radius,0
281,Nothing within a 2km radius,0
282,Nothing within a 2km radius,0
283,Nothing within a 2km radius,0
284,Nothing within a 2km radius,0
285,639.1944419728917,2
286,Nothing within a 2km radius,0
287,Nothing within a 2km radius,0
288,Nothing within a 2km radius,0
289,1633.2540198045435,3
290,639.1944419728917,2
291,Nothing within a 2km radius,0
292,Nothing within a 2km radius,0
293,Nothing within a 2km radius,0
294,Nothing within a 2km radius,0
295,Nothing within a 2km radius,0
296,Nothing within a 2km radius,0
297,Nothing within a 2km radius,0
298,Nothing within a 2km radius,0
299,1038.3347104146096,2
300,Nothing within a 2km radius,0
301,Nothing within a 2km radius,0
302,Nothing within a 2km radius,0
303,Nothing within a 2km radius,0
304,Nothing within a 2km radius,0
305,Nothing within a 2km radius,0
306,Nothing within a 2km radius,0
307,Nothing within a 2km radius,0
308,Nothing within a 2km radius,0
309,Nothing within a 2km radius,0
310,Nothing within a 2km radius,0
311,Nothing within a 2km radius,0
312,Nothing within a 2km radius,0
313,Nothing within a 2km radius,0
314,Nothing within a 2km radius,0
315,Nothing within a 2km radius,0
316,Nothing within a 2km radius,0
317,Nothing within a 2km radius,0
318,Nothing within a 2km radius,0
319,1911.3660282671408,2
320,Nothing within a 2km radius,0
321,Nothing within a 2km radius,0
322,Nothing within a 2km radius,0
323,Nothing within a 2km radius,0
324,Nothing within a 2km radius,0
325,1038.3347104146096,2
326,Nothing within a 2km radius,0
327,Nothing within a 2km radius,0
328,Nothing within a 2km radius,0
329,639.1944419728917,2
330,1911.3660282671408,2
331,639.1944419728917,2
332,639.1944419728917,2
333,Nothing within a 2km radius,0
334,840.8052619283251,3
335,1038.3347104146096,2
336,Nothing within a 2km radius,0
337,Nothing within a 2km radius,0
338,Nothing within a 2km radius,0
339,Nothing within a 2km radius,0
340,Nothing within a 2km radius,0
341,Nothing within a 2km radius,0
342,Nothing within a 2km radius,0
343,Nothing within a 2km radius,0
344,Nothing within a 2km radius,0
345,71.22987963041093,16
346,1911.8038238573542,2
347,71.22987963041093,16
348,730.9692886800002,8
349,407.29346782426785,18
350,260.19324497980386,21
351,115.3181500319283,17
352,227.2863009137502,16
353,227.2863009137502,16
354,378.1852373402921,17
355,1444.2437631811413,3
356,274.4778434902687,16
357,256.5495810448692,16
358,71.22987963041093,16
359,359.7309203541593,22
360,267.7822947379957,17
361,1608.6667212742516,3
362,449.86724786356444,20
363,71.22987963041093,16
364,71.22987963041093,16
365,450.43502685715765,16
366,235.52838540677746,17
367,47.84336634184838,16
368,1202.4256393914316,5
369,136.74078433198392,17
370,699.2298059406022,10
371,699.2298059406022,10
372,413.9408149228398,14
373,308.58449004286734,15
374,183.95548088416595,20
375,53.03888086356257,18
376,1076.241852922002,6
377,1165.4550019563883,6
378,602.7064283637679,11
379,340.53027131880776,15
